physical_quantity,power,power
type,active,reactive
,,
2013-11-12 09:28:27+00:00,2553.0,-319.0
2013-11-12 09:28:30+00:00,2553.0,22.0
2013-11-12 09:28:31+00:00,2553.0,157.0
2013-11-12 09:28:32+00:00,2637.0,157.0
2013-11-12 09:28:59+00:00,2552.0,-230.0
2013-11-12 09:29:00+00:00,2487.0,302.0
2013-11-12 09:29:01+00:00,2487.0,36.0
2013-11-12 09:29:04+00:00,2638.0,-730.0
2013-11-12 09:29:15+00:00,2539.0,134.0
2013-11-12 09:29:19+00:00,2688.0,-556.0
2013-11-12 09:29:31+00:00,2496.0,128.0
2013-11-12 09:29:47+00:00,2449.0,68.0
2013-11-12 09:29:51+00:00,2532.0,-491.0
2013-11-12 09:30:03+00:00,2471.0,165.0
2013-11-12 09:30:04+00:00,2530.0,165.0
2013-11-12 09:30:23+00:00,2603.0,-319.0
2013-11-12 09:30:27+00:00,2568.0,-450.0
2013-11-12 09:30:38+00:00,588.0,-475.0
2013-11-12 09:30:39+00:00,588.0,-787.0
2013-11-12 09:30:40+00:00,545.0,-787.0
2013-11-12 09:30:44+00:00,494.0,-644.0
2013-11-12 09:30:47+00:00,368.0,30.0
2013-11-12 09:30:48+00:00,390.0,30.0
2013-11-12 09:30:51+00:00,586.0,-818.0
2013-11-12 09:30:52+00:00,488.0,-818.0
2013-11-12 09:30:56+00:00,549.0,-442.0
2013-11-12 09:31:00+00:00,506.0,-653.0
2013-11-12 09:31:03+00:00,348.0,72.0
2013-11-12 09:31:04+00:00,388.0,72.0
2013-11-12 09:31:07+00:00,588.0,-788.0
2013-11-12 09:31:08+00:00,488.0,-788.0
2013-11-12 09:31:12+00:00,555.0,-442.0
2013-11-12 09:31:18+00:00,421.0,172.0
2013-11-12 09:31:19+00:00,421.0,-181.0
2013-11-12 09:32:16+00:00,428.0,-636.0
2013-11-12 09:32:17+00:00,428.0,-248.0
2013-11-12 09:32:20+00:00,428.0,69.0
2013-11-12 09:32:21+00:00,428.0,-49.0
2013-11-12 09:32:32+00:00,453.0,-583.0
2013-11-12 09:32:33+00:00,453.0,-301.0
2013-11-12 09:32:37+00:00,381.0,2.0
2013-11-12 09:32:38+00:00,445.0,2.0
2013-11-12 09:32:54+00:00,489.0,-995.0
2013-11-12 09:33:05+00:00,489.0,-445.0
2013-11-12 09:33:06+00:00,413.0,241.0
2013-11-12 09:33:21+00:00,379.0,36.0
2013-11-12 09:33:25+00:00,545.0,-562.0
2013-11-12 09:33:41+00:00,583.0,-621.0
2013-11-12 09:33:50+00:00,437.0,-442.0
2013-11-12 09:33:57+00:00,541.0,-697.0
2013-11-12 09:34:05+00:00,489.0,-643.0
2013-11-12 09:34:06+00:00,433.0,-643.0
2013-11-12 09:34:13+00:00,545.0,-589.0
2013-11-12 09:34:21+00:00,489.0,-498.0
2013-11-12 09:34:22+00:00,390.0,-498.0
2013-11-12 09:34:29+00:00,588.0,-442.0
2013-11-12 09:34:37+00:00,489.0,-487.0
2013-11-12 09:34:38+00:00,423.0,-487.0
2013-11-12 09:34:42+00:00,555.0,-895.0
2013-11-12 09:34:53+00:00,489.0,4.0
2013-11-12 09:34:54+00:00,394.0,4.0
2013-11-12 09:34:57+00:00,584.0,-795.0
2013-11-12 09:34:58+00:00,489.0,-795.0
2013-11-12 09:35:02+00:00,552.0,-459.0
2013-11-12 09:35:09+00:00,426.0,-77.0
2013-11-12 09:35:18+00:00,545.0,-589.0
2013-11-12 09:35:26+00:00,489.0,95.0
2013-11-12 09:35:34+00:00,551.0,-604.0
2013-11-12 09:35:58+00:00,489.0,-2.0
2013-11-12 09:36:06+00:00,445.0,-604.0
2013-11-12 09:36:22+00:00,489.0,-641.0
2013-11-12 09:36:25+00:00,489.0,-666.0
2013-11-12 09:36:26+00:00,409.0,40.0
2013-11-12 09:36:41+00:00,489.0,-480.0
2013-11-12 09:36:42+00:00,402.0,242.0
2013-11-12 09:36:45+00:00,576.0,-724.0
2013-11-12 09:36:46+00:00,489.0,-724.0
2013-11-12 09:36:56+00:00,354.0,-586.0
2013-11-12 09:36:57+00:00,354.0,28.0
2013-11-12 09:37:11+00:00,335.0,-4.0
2013-11-12 09:37:27+00:00,356.0,-6.0
2013-11-12 09:37:39+00:00,435.0,-830.0
2013-11-12 09:37:42+00:00,392.0,-48.0
2013-11-12 09:37:43+00:00,392.0,-92.0
2013-11-12 09:37:44+00:00,330.0,-92.0
2013-11-12 09:37:47+00:00,454.0,-656.0
2013-11-12 09:37:59+00:00,368.0,30.0
2013-11-12 09:38:03+00:00,502.0,-656.0
2013-11-12 09:38:11+00:00,435.0,-656.0
2013-11-12 09:38:12+00:00,379.0,-656.0
2013-11-12 09:38:19+00:00,491.0,-459.0
2013-11-12 09:38:35+00:00,496.0,-459.0
2013-11-12 09:38:51+00:00,529.0,-571.0
2013-11-12 09:39:00+00:00,293.0,250.0
2013-11-12 09:39:04+00:00,499.0,-863.0
2013-11-12 09:39:24+00:00,498.0,-650.0
2013-11-12 09:39:32+00:00,437.0,61.0
2013-11-12 09:39:39+00:00,437.0,-507.0
2013-11-12 09:39:40+00:00,343.0,-755.0
2013-11-12 09:39:55+00:00,357.0,-411.0
2013-11-12 09:39:56+00:00,402.0,-411.0
2013-11-12 09:40:15+00:00,267.0,-555.0
2013-11-12 09:40:16+00:00,179.0,127.0
2013-11-12 09:40:27+00:00,267.0,-420.0
2013-11-12 09:40:28+00:00,350.0,-676.0
2013-11-12 09:40:31+00:00,184.0,40.0
2013-11-12 09:40:32+00:00,156.0,40.0
2013-11-12 09:40:35+00:00,378.0,-761.0
2013-11-12 09:40:36+00:00,278.0,-761.0
2013-11-12 09:40:43+00:00,278.0,-495.0
2013-11-12 09:40:44+00:00,359.0,-715.0
2013-11-12 09:40:47+00:00,197.0,110.0
2013-11-12 09:40:54+00:00,172.0,50.0
2013-11-12 09:41:41+00:00,373.0,-669.0
2013-11-12 09:41:42+00:00,291.0,-669.0
2013-11-12 09:41:45+00:00,291.0,-524.0
2013-11-12 09:41:46+00:00,191.0,-524.0
2013-11-12 09:41:57+00:00,200.0,31.0
2013-11-12 09:41:58+00:00,266.0,31.0
2013-11-12 09:42:00+00:00,320.0,-691.0
2013-11-12 09:42:55+00:00,394.0,-756.0
2013-11-12 09:42:56+00:00,340.0,-756.0
2013-11-12 09:43:07+00:00,209.0,81.0
2013-11-12 09:43:09+00:00,252.0,82.0
2013-11-12 09:43:14+00:00,369.0,-449.0
2013-11-12 09:43:15+00:00,369.0,-592.0
2013-11-12 09:43:18+00:00,373.0,-725.0
2013-11-12 09:43:21+00:00,219.0,84.0
2013-11-12 09:43:25+00:00,497.0,-1010.0
2013-11-12 09:43:26+00:00,436.0,-1010.0
2013-11-12 09:43:30+00:00,388.0,-831.0
2013-11-12 09:43:31+00:00,388.0,-791.0
2013-11-12 09:43:41+00:00,551.0,-1121.0
2013-11-12 09:43:42+00:00,497.0,-1121.0
2013-11-12 09:43:57+00:00,500.0,-1101.0
2013-11-12 09:43:58+00:00,464.0,-1101.0
2013-11-12 09:43:59+00:00,464.0,-860.0
2013-11-12 09:44:03+00:00,519.0,-950.0
2013-11-12 09:44:25+00:00,284.0,119.0
2013-11-12 09:44:34+00:00,434.0,-925.0
2013-11-12 09:44:35+00:00,434.0,-864.0
2013-11-12 09:44:57+00:00,504.0,-1034.0
2013-11-12 09:44:58+00:00,466.0,-1034.0
2013-11-12 09:45:11+00:00,345.0,120.0
2013-11-12 09:45:13+00:00,492.0,-940.0
2013-11-12 09:45:14+00:00,467.0,-940.0
2013-11-12 09:45:15+00:00,467.0,-912.0
2013-11-12 09:45:25+00:00,330.0,-7.0
2013-11-12 09:45:27+00:00,530.0,-962.0
2013-11-12 09:45:51+00:00,471.0,-961.0
2013-11-12 09:45:58+00:00,531.0,-1014.0
2013-11-12 09:45:59+00:00,463.0,-919.0
2013-11-12 09:46:03+00:00,466.0,-975.0
2013-11-12 09:46:06+00:00,437.0,-975.0
2013-11-12 09:46:13+00:00,492.0,-1091.0
2013-11-12 09:46:14+00:00,448.0,-1091.0
2013-11-12 09:46:15+00:00,448.0,-816.0
2013-11-12 09:46:18+00:00,478.0,-816.0
2013-11-12 09:46:26+00:00,327.0,75.0
2013-11-12 09:46:28+00:00,472.0,-1123.0
2013-11-12 09:46:29+00:00,472.0,-900.0
2013-11-12 09:46:43+00:00,520.0,-993.0
2013-11-12 09:47:50+00:00,280.0,-609.0
2013-11-12 09:47:51+00:00,280.0,-411.0
2013-11-12 09:47:52+00:00,304.0,-267.0
2013-11-12 09:48:06+00:00,329.0,38.0
2013-11-12 09:48:08+00:00,308.0,-706.0
2013-11-12 09:48:27+00:00,304.0,-487.0
2013-11-12 09:48:29+00:00,305.0,-564.0
2013-11-12 09:48:30+00:00,312.0,-374.0
2013-11-12 09:48:31+00:00,220.0,-398.0
2013-11-12 09:48:32+00:00,193.0,48.0
2013-11-12 09:48:45+00:00,339.0,-776.0
2013-11-12 09:48:50+00:00,300.0,-686.0
2013-11-12 09:48:51+00:00,300.0,-552.0
2013-11-12 09:48:52+00:00,201.0,-396.0
2013-11-12 09:49:02+00:00,297.0,-693.0
2013-11-12 09:49:07+00:00,315.0,-490.0
2013-11-12 09:49:08+00:00,263.0,-490.0
2013-11-12 09:49:28+00:00,230.0,-184.0
2013-11-12 09:49:31+00:00,230.0,-23.0
2013-11-12 09:49:32+00:00,252.0,-187.0
2013-11-12 09:49:38+00:00,189.0,10.0
2013-11-12 09:49:39+00:00,261.0,94.0
2013-11-12 09:49:40+00:00,244.0,94.0
2013-11-12 09:49:41+00:00,206.0,53.0
2013-11-12 09:49:59+00:00,203.0,-316.0
2013-11-12 09:50:03+00:00,323.0,-596.0
2013-11-12 09:50:05+00:00,209.0,-250.0
2013-11-12 09:50:09+00:00,287.0,-558.0
2013-11-12 09:50:10+00:00,268.0,-370.0
2013-11-12 09:50:11+00:00,206.0,-264.0
2013-11-12 09:50:15+00:00,302.0,-768.0
2013-11-12 09:50:18+00:00,311.0,-416.0
2013-11-12 09:50:19+00:00,271.0,-488.0
2013-11-12 09:50:21+00:00,291.0,-391.0
2013-11-12 09:50:22+00:00,255.0,-391.0
2013-11-12 09:50:43+00:00,222.0,-20.0
